头像,WB_from,WB_text,forward,comment,like,缩略图,weibo_url
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 21:28 来自 微博 weibo.com,【国际奥委会：#2020东京奥运会将于2021年举行# 名称不变】当地时间24日，国际奥委会宣布，鉴于新冠肺炎感染患者数量急剧增加，国际奥委会与东京奥组委、日本政府和东京都政府讨论后，决定推迟东京奥运会举办时间至2021年夏天举行，延期后的奥运会名称仍保留“2020东京奥运会”。（总台记者薛婧萌 李春 ​​​​...展开全文,2654,1099,14125,https://wx1.sinaimg.cn/orj360/9e5389bbly1gd5c976nn6j20go0gogvn.jpg,https://weibo.com/2656274875/IA8ewg9kp?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 21:26 来自 微博 weibo.com,【#匈总理亲自迎接来自中国的防疫物资#】当地时间3月24日早上，匈牙利从中国采购的近70吨防疫物资抵达布达佩斯。这批物资包括300多万只口罩、10万份新冠病毒检测试剂等。匈牙利总理欧尔班、创新与技术部部长帕尔科维奇亲自前往机场接机。帕尔科维奇表示，感谢中国愿意为匈牙利和匈牙利人民提供有效、迅 ​​​​...展开全文,325,558,8833,"https://wx2.sinaimg.cn/thumb150/9e5389bbly1gd5c6cnzgvj20xc0m8qs9.jpg,https://wx2.sinaimg.cn/thumb150/9e5389bbly1gd5c6g2zqvj21900u0wrl.jpg",https://weibo.com/2656274875/IA8dqgAGP?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 21:00 来自 微博云剪,【#中国的疫情防控经验值得全球关注#】中国疾控中心研究员吴尊友：应对新冠肺炎疫情，我们是传染源、传播途径、易感人群“三管齐下”来抓。①对传染源采取“四早措施”，早发现、早报告、早隔离、早治疗；②戴口罩、注意手卫生、通风等，切断传播途径③人与人之间保持一定距离，保护易感人群。目 ​​​​...展开全文,800,858,7978,,https://weibo.com/2656274875/IA8378b3v?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 20:37 来自 微博 weibo.com,【#寒潮上线多地气温打折#！多地降温超10℃ 转发提醒！】据@中国天气 ：今天，中央气象台发布寒潮蓝色预警。24日至28日，我国中东部大部将出现雨雪和大风降温天气过程，南方将有强降雨和强对流天气，北方雨雪、沙尘齐袭，多地累积降温幅度超过10℃，局地超过15℃！网友：我这就把刚收起来的秋裤再找出 ​​​​...展开全文,527,775,2105,"https://wx2.sinaimg.cn/thumb150/9e5389bbly1gd5as7u6j1j20i20m8q5d.jpg,https://wx3.sinaimg.cn/thumb150/9e5389bbly1gd5as7u9glj20i20eoq4w.jpg",https://weibo.com/2656274875/IA7TQ99U2?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 19:56 来自 微博 weibo.com,【防疫措施升级！#澳大利亚将禁止民众出国#】当地时间24日晚，澳大利亚总理莫里森召开记者会，宣布民众将被禁止出国。联邦政府稍晚将讨论决定并宣布禁令何时生效。另外，25日午夜起，澳大利亚将关闭更多的公共场所，包括博物馆、图书馆、美容美甲店、游泳馆、健身场所等。餐馆和咖啡店只能保留外卖服务 ​​​​...展开全文,445,1025,9613,https://wx1.sinaimg.cn/orj360/9e5389bbly1gd59du78xjj20m80m80ys.jpg,https://weibo.com/2656274875/IA7CYFUW1?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV,https://tvax4.sinaimg.cn/crop.0.0.512.512.180/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=8yz2uuQMMs",3月24日 19:44 来自 微博原生直播,#全球抗疫第一线#【直播！直击意大利四地疫情】截至当地时间23日18时，意大利确诊病例已超6.3万。米兰、罗马、那不勒斯、库马约尔四地情况如何？意大利人如何看待“出门戴口罩”？日常生活物资如何保障？意大利的“云课堂”什么样？看意大利人、旅意侨胞、中国留学生在线分享！ 央视新闻的微博视频 . ​​​​,286,1339,10415,,https://weibo.com/2656274875/IA7ygnqJt?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 19:34 来自 微博 weibo.com,【#日本确定奥运会延期1年提案方针#】围绕东京奥运会及残奥会问题，日本首相安倍晋三与国际奥委会主席巴赫今天进行了电话会谈。据日本放送协会消息，双方在电话会谈中，提及考虑到参赛选手的准备时间等问题，确定了东京奥运会、残奥会延期1年左右的提案方针。（总台记者何欣蕾） ​​​​,559,437,2745,https://wx2.sinaimg.cn/orj360/9e5389bbly1gd58y22z3mj20go0gogvn.jpg,https://weibo.com/2656274875/IA7u1pEia?from=page_1002062656274875_profile&wvr=6&mod=weibotime
,,,,,,,
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053077&ssig=G0jfOKQr8f",3月24日 19:00 来自 微博原生直播,#在微博看联播#【直播！#新闻联播#】 央视新闻的微博直播 . ​​​​,148,194,5408,,https://weibo.com/2656274875/IA7gb17fy?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053077&ssig=G0jfOKQr8f",3月24日 19:00 来自 微博原生直播,#在微博看联播#【直播！#新闻联播#】 央视新闻的微博直播 . ​​​​,148,194,5408,,https://weibo.com/2656274875/IA7gb17fy?from=page_1002062656274875_profile&wvr=6&mod=weibotime
