,pub_time,weibo_content,forward,comment,like,weibo_url,weibo_topic
78,1月3日 13:52,#心有所鼠#【“招财”吐宝鼠，你签收了吗？】今年，#故宫600岁#。两只吐宝鼠近日住进了故宫，一只软萌可爱，一只浑身金光。不少人都去紫禁城捕捉这两只小可爱。网友：对这个萌天团毫无抵抗力、突然想养一只鼠……@福尔摩郁 @韩辉同学 @FanShay @无肉不欢的杀糖兔 @欺负萝卜的菠萝 @懒虫团团  ​​​​...展开全文,366.0,416.0,2846.0,https://weibo.com/2656274875/InLCTwLUZ?from=page_1002062656274875_profile&wvr=6&mod=weibotime,“招财”吐宝鼠，你签收了吗？
79,1月3日 13:25,【#2019北京PM2.5有监测以来历史最低#】今天，北京市生态环境局发布2019年空气质量报告：2019年，北京地区PM2.5年均浓度为42微克/立方米，为有监测数据以来历史最低；PM10、二氧化氮首次达到国家标准。2019年，北京市优良天数为240天；重污染日4天，首要污染物均为PM2.5 ，全年无严重污染日。（央视记 ​​​​...展开全文,789.0,719.0,5039.0,https://weibo.com/2656274875/InLrYww0n?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#2019北京PM2.5有监测以来历史最低#
80,1月3日 12:42,【#台湾黑鹰直升机黑匣子已找到#】台防务部门最新发布消息，今天上午10点40分，失事UH-60M黑鹰直升机的黑匣子已被找到，目前移交相关单位进行分析。昨天，#台湾黑鹰直升机坠毁8死5生还#。（央视记者赵超逸） ​​​​,128.0,248.0,1767.0,https://weibo.com/2656274875/InLavgc1x?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#台湾黑鹰直升机黑匣子已找到#
81,1月3日 12:10,【零容忍！#女子因加塞遭拒辱骂医生被拘#】北京@西城警讯 今天发布通报：1日，周某（女，41岁）带其父到北大人民医院急诊看病时，要求提前“加塞”就诊被拒后，辱骂和言语威胁当值医生。周某的行为严重扰乱医院内就医秩序，被警方处以行政拘留5日的处罚。北京警方对各类伤医、辱医违法犯罪行为“零容忍 ​​​​...展开全文,566.0,819.0,7275.0,https://weibo.com/2656274875/InKXI9DXi?from=page_1002062656274875_profile&wvr=6&mod=weibotime,零容忍！#女子因加塞遭拒辱骂医生被拘#
82,1月3日 11:59,【#中国农大教授李宁贪污被判12年#】今天，吉林省松原市中级人民法院公开宣判中国工程院院士、中国农业大学教授李宁及同案被告人张磊贪污一案，对被告人李宁以贪污罪判处有期徒刑12年，并处罚金人民币300万元，对被告人张磊以贪污罪判处有期徒刑5年8个月，并处罚金人民币20万元；对贪污所得财物予以追 ​​​​...展开全文,1345.0,1878.0,8425.0,https://weibo.com/2656274875/InKTaeP89?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#中国农大教授李宁贪污被判12年#
83,1月3日 11:34,#伊拉克再遭美军空袭#【#伊朗少将在伊拉克遇袭身亡#】当地时间3日凌晨，据伊拉克安全部门发布的声明，巴格达国际机场附近遭到3枚导弹袭击，两部车辆被炸毁，致7人死亡。伊拉克人民动员组织领导人阿布·迈赫迪·穆罕迪斯与伊朗伊斯兰革命卫队领导人卡西姆·苏莱马尼在空袭中身亡。美国国防部五角大楼表示， ​​​​...展开全文,492.0,1266.0,9759.0,https://weibo.com/2656274875/InKIXANuR?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#伊朗少将在伊拉克遇袭身亡#
84,1月3日 11:04,【#科幻电影中的2020年代#是啥样？转存，一起看！】城市中四处可见的飞行器、强大的机器人战士、人脑链接上网……几十年前的科幻电影中，人们都是如何畅想2020年代的？看视频↓你#小时候以为的2020#，和现在一样吗？ 央视新闻的微博视频 ​​​​,533.0,403.0,2094.0,https://weibo.com/2656274875/InKwMCnxG?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#科幻电影中的2020年代#是啥样？转存，一起看！
85,1月3日 10:40,【#全国人大机关将开通网上信访平台#】记者从全国人大常委会办公厅获悉，全国人大机关将于近期开通网上信访平台。目前，网上信访平台开通前的各项准备工作已基本就绪。机关网上信访平台开通后，信访人通过“中国人大网”进行注册登录，即可提交信访内容。（央视记者张赛） ​​​​,1457.0,1390.0,11510.0,https://weibo.com/2656274875/InKn7CN3s?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#全国人大机关将开通网上信访平台#
86,1月3日 10:05,【#20后扎堆亮相# 转起！迎接全球首批20后！抽奖送5G手机！】不论你有没有准备好，#第一批20后来了#。过去人们用照片定格宝宝的“满月”“百天”，泛黄的相册成了生活的记录。今天的“视频时代”，记录更生动完整了，看视频！20后第一次亮相！一起祝福20后！转发送5台@OPPO Reno3 Pro手机！迎接2020！  ​​​​...展开全文,47670.0,23132.0,55464.0,https://weibo.com/2656274875/InK93m2tq?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#20后扎堆亮相# 转起！迎接全球首批20后！抽奖送5G手机！
87,1月3日 09:31,【转存！收好这份#2020年考试安排#！】昨天，人社部发布了2020年全年的考试安排。教师资格、会计、翻译……2020年，你要参加哪些考试？记下这些重要考试时间↓现在有多努力，未来就有多幸运！转存！网友：#2020年请叫我过儿# ​​​​,4228.0,674.0,5169.0,https://weibo.com/2656274875/InJV8vfVA?from=page_1002062656274875_profile&wvr=6&mod=weibotime,转存！收好这份#2020年考试安排#！
