,pub_time,weibo_content,forward,comment,like,weibo_url,weibo_topic
0,1月25日 23:42,#新型肺炎确诊病例#【#湖北黄石确诊31例新型肺炎病例#】截至1月25日20时，黄石市累计报告疑似病例49例。根据湖北省防控指挥部统一规定，依托具备资质和相应防护级别的省级生物安全实验室，对黄石市新型冠状病毒样本进行采样和检测，并于25日正式确诊病例31例，其中死亡1例。  对所有疑似和确诊病例， ​​​​...展开全文,1039.0,4521.0,46462.0,https://weibo.com/2656274875/IraTgfxGE?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#湖北黄石确诊31例新型肺炎病例#
1,1月25日 23:37,#急寻染病交通工具乘客#【急转！急寻21日D3937次动车7号车厢在云南文山境内下车的57名乘客】云南省文山州新型冠状病毒感染的肺炎领导小组办公室消息，1月21日，由南宁市经平果、广南、丘北往昆明市的D3937次动车7号车厢的一名乘客，经百色市医疗机构诊断，已确诊为新型冠状病毒感染的肺炎病例，目前已 ​​​​...展开全文,4642.0,2037.0,40552.0,https://weibo.com/2656274875/IraRz3asr?from=page_1002062656274875_profile&wvr=6&mod=weibotime,急转！急寻21日D3937次动车7号车厢在云南文山境内下车的57名乘客
2,1月25日 23:32,【#UP主实拍武汉#】武汉全市公交地铁等停运，有武汉视频博主走上街头，拍下了武汉最真实的状态↓↓↓愿大家都健康平安！微博视频博主 @林晨同学Hearing 央视新闻的微博视频 ​​​​,20584.0,8680.0,187797.0,https://weibo.com/2656274875/IraPeifB3?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#UP主实拍武汉#
3,1月25日 23:08,【#医生请战书上的5个感叹号#】近日，浙江大学附属第一医院全面进入备战状态。苏俊威第一时间写下了《请战书》，要求前往疫情一线：“医者仁心！若有战！召必回！战必胜！定不辱使命！”每次从隔离病房出来，他都需经过12个步骤脱下防护服。虽然辛苦，但他表示：如果不把使命接起来，谁来帮助患者？（ ​​​​...展开全文,1636.0,2292.0,54759.0,https://weibo.com/2656274875/IraFE3LCb?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#医生请战书上的5个感叹号#
4,1月25日 22:56,【#白岩松康辉等主播谈春晚朗诵#】昨晚，#唯一没有彩排过的春晚节目#你看了吗？在这场没有硝烟的战争里，信息与信心成为抗击疫情最好的“疫苗”。白岩松：保护好自己，14亿人最终都安全了，疫情就结束了；欧阳夏丹：你停下了出行的脚步，就是在刹住了疫情前行的脚步！加油武汉！加油中国！  ​​​​...展开全文,1218.0,605.0,14901.0,https://weibo.com/2656274875/IraAJErGZ?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#白岩松康辉等主播谈春晚朗诵#
5,1月25日 22:45,#急寻染病交通工具乘客#【急转！急寻20日吉林JG4666大巴乘客】25日，吉林省乾安县“新型冠状病毒疫情”应急指挥部发布紧急通知如下:1月20日乘坐11：40由松原长途客运站出发至乾安的客运班车乘客请注意：1月20日11时40分由松原长途客运站出发至乾安的客运班车（吉JG4666）于12时52抵达，车上发现1名 ​​​​...展开全文,6151.0,2215.0,22529.0,https://weibo.com/2656274875/IrawizAwB?from=page_1002062656274875_profile&wvr=6&mod=weibotime,急转！急寻20日吉林JG4666大巴乘客
6,1月25日 22:40,#新型肺炎确诊病例#【#我国确诊1372例新型肺炎病例#】根据相关部门通报数据统计，截至1月25日18时：29个省（区、市）累计报告新型冠状病毒感染的肺炎确诊病例1372例，死亡41例（湖北省39例、河北省1例、黑龙江1例）。已治愈出院39例。累计收到港澳台地区通报确诊病例10例，其中香港特别行政区5例， ​​​​...展开全文,625.0,1518.0,16646.0,https://weibo.com/2656274875/Iraud8QZt?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#我国确诊1372例新型肺炎病例#
7,1月25日 22:19,【#传染病学专家表示疫情已刻不容缓#】传染病学专家李兰娟表示，武汉实施进出人员管控是因为疫情已到刻不容缓的程度，只有严格控制传染源，才能不让传染病发生大流行。现在全国多省都有输入性病人，必须采取严格措施，否则疫情可能继续蔓延。她表示，新发病人明显减少甚至没有了，管控就可解除。  ​​​​...展开全文,39057.0,52220.0,2065499.0,https://weibo.com/2656274875/IralNjcyN?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#传染病学专家表示疫情已刻不容缓#
8,1月25日 21:43,【#央视新闻粉丝破亿#】亿心一意，为武汉加油！#武汉平安# ​​​​,5879.0,9056.0,177985.0,https://weibo.com/2656274875/Ira735PZt?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#央视新闻粉丝破亿#
9,1月25日 21:26,【#全国旅行社团队游全部暂停#】根据中国旅行社协会官方发布的消息：即日起，全国旅行社及在线旅游企业暂停经营团队旅游及“机票＋酒店”产品。已出行的旅游团队，可按合同约定继续完成行程。行程中，密切关注游客身体状况，做好健康防护。同时要妥善处理旅游合同纠纷。按照文旅部统一要求，国内旅游团 ​​​​...展开全文,7230.0,20014.0,164658.0,https://weibo.com/2656274875/Ira0ec40o?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#全国旅行社团队游全部暂停#
