,pub_time,weibo_content,forward,comment,like,weibo_url,weibo_topic
0,5月31日 23:54,【#医生陶勇送给网友一首诗#】昨晚，曾在出诊时被砍伤的医生陶勇写了一首名为《旅行》的诗，记录了他这几个月的思绪。“生命是一场旅行，一路都是风景，有时欣喜，有时也会寂寞到像鸵鸟一样把头埋在沙里……”他说，人生总会遇到坎坷和波折，希望大家都能学会面对、解决和放下。来听↓  ​​​​...展开全文,3061.0,685.0,14333.0,https://weibo.com/2656274875/J4wN6nMEg?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#医生陶勇送给网友一首诗#
1,5月31日 23:40,【#中国女排儿童节送祝福#】#六一儿童节#晚20点，@央视新闻 #微光云音乐会# 送给正是天真可爱的TA，也送给曾是勇敢少年的你！定好闹钟，不见不散~@袁心玥玥玥 @龚翔宇宇宇宇bigbang 张常宁@宝贝宁_ZCN 为你送祝福啦！快来查收！点击助力困境儿童： 微光聚爱 守护儿童 央视新闻的微博视频,751.0,283.0,2797.0,https://weibo.com/2656274875/J4wHhzlDx?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#中国女排儿童节送祝福#
2,5月31日 23:17,【痛心！#四川特殊地貌钙华滩遭碾压# 破坏后几乎无法修复】近日，3人驾驶越野车驶入四川康定特殊地貌亚拢沟钙华滩，在滩上转圈漂移，还拍摄视频炫车技。专家介绍，钙华景观一年最多形成几毫米，破坏几乎不可逆……目前，3人已发布道歉视频。转发倡议！旅游请留下素质！ 央视新闻的微博视频,3070.0,5807.0,60971.0,https://weibo.com/2656274875/J4wy8biVf?from=page_1002062656274875_profile&wvr=6&mod=weibotime,痛心！#四川特殊地貌钙华滩遭碾压# 破坏后几乎无法修复
3,5月31日 22:50,【#医生陶勇说回到一线感动多于恐惧#】年初，北京朝阳医院眼科医生陶勇出诊时被砍伤。如今，他已回到诊疗一线，经过复健，受伤的手也从僵硬逐渐恢复柔软。他说：“很多患者都带来鲜花和祝福，曾为我挡刀受伤的患者母亲见到我就流了泪，她忘记了自己的伤痛，只想着我会不会更好。这些感动支撑着我，挺幸 ​​​​...展开全文,2060.0,905.0,28112.0,https://weibo.com/2656274875/J4wnd0qri?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#医生陶勇说回到一线感动多于恐惧#
4,5月31日 22:23,【直播！#央视记者直击美国抗议示威现场#】连日来，#美国警员膝盖压脖子致非裔男子死亡#一事引发的抗议活动持续升级，蔓延至美国多地。据美媒统计，全美已有20多个州、共计30多座城市暴发了抗议示威活动。央视记者正在明尼阿波利斯市，带你直击现场↓↓关注！（央视记者刘骁骞） 央视新闻的微博视频  ​​​​...展开全文,1468.0,1227.0,29553.0,https://weibo.com/2656274875/J4wc0xMwx?from=page_1002062656274875_profile&wvr=6&mod=weibotime,直播！#央视记者直击美国抗议示威现场#
5,5月31日 22:19,#主播说联播#【#愿你能像孩子一样拥有童心和活力#】每一颗顶天立地的雄心，都源自一颗天真的童心。六一要到了，除了祝小朋友节日快乐，顺利地把第一粒扣子扣好，也要祝福每一个奋斗拼搏的大宝宝，愿优质的营养能滋养关爱家人的你，滋养热爱拼搏的你，滋养默默耕耘的你，心怀本真，蓄力向上！@活力伊利  ​​​​...展开全文,13637.0,4908.0,57569.0,https://weibo.com/2656274875/J4wavqQ9r?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#愿你能像孩子一样拥有童心和活力#
6,5月31日 22:02,【戒烟吧！给孩子创造无烟的家】日前，中国疾控中心正式聘任中央广播电视总台自有知识产权动画形象“棉花糖一家”担任“无烟家庭形象大使”，任期5年。#今天世界无烟日#，明天又是六一儿童节，看棉花糖一家的提醒↓为了小朋友，为了家人，为了自身健康，尽早戒烟！ 央视新闻的微博视频,836.0,371.0,1926.0,https://weibo.com/2656274875/J4w3qpXxW?from=page_1002062656274875_profile&wvr=6&mod=weibotime,戒烟吧！给孩子创造无烟的家
7,5月31日 21:32,【#面对面#正在播出！】从农家姑娘到体坛巨星，再到代表通道上的女排队长，朱婷说想一直做奔跑的前浪；9小时登顶、峰顶工作150分钟，珠峰高程测量虽一波三折，仍创造纪录！看#央视专访朱婷#、2020珠峰高程测量队现场总指挥李国鹏↓↓↓关注！ 央视新闻的微博视频 .,984.0,855.0,8502.0,https://weibo.com/2656274875/J4vRCpT46?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#面对面#正在播出！
8,5月31日 21:31,【#英国伦敦举行示威游行#】从29日起，英国伦敦示威者开始前往美国驻英大使馆前抗议，声援美国黑人反对种族歧视和警察暴力。这两天，抗议规模扩大。今天，在伦敦市中心特拉法加广场，数千人参加示威游行。组织者称，在英国、美国都存在警察的暴力执法，这是值得所有人关注的事件。（总台记者康玉斌）,1219.0,2400.0,49008.0,https://weibo.com/2656274875/J4vR02viZ?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#英国伦敦举行示威游行#
9,5月31日 21:04,【明晚8点！#微光云音乐会#陪你过六一】就在明晚8点！央视新闻爱心助学“微光”公益音乐会直播，主持人月亮姐姐、@海阳 与超30位嘉宾集结，一起点亮“微光”！大小朋友们，明天就是儿童节了，#你的六一祝福谁#？留下评论，直播中为你送祝福！转起～@东方卫视极限挑战 @Mr_凡先生 @TIA袁娅维 @霍尊  ​​​​...展开全文,10742.0,3469.0,128485.0,https://weibo.com/2656274875/J4vFZqMEQ?from=page_1002062656274875_profile&wvr=6&mod=weibotime,明晚8点！#微光云音乐会#陪你过六一
10,5月31日 20:33,【国际锐评：#美国将变成地球上的孤家寡人#】锐评指出，“不合吾意就退群”是美国政府近年来在国际社会的一贯套路。如今，在全球合作抗疫最吃劲的时候，美方竟宣布将终止与世卫组织的关系。美国政客“退群”世卫的行径是损人害己的自残，他们把“许诺、甩锅、威胁”作为抗疫三部曲，将自身政治私利凌驾 ​​​​...展开全文,998.0,860.0,6487.0,https://weibo.com/2656274875/J4vtx1tTC?from=page_1002062656274875_profile&wvr=6&mod=weibotime,国际锐评：#美国将变成地球上的孤家寡人#
11,5月31日 20:04,【小调查：对儿童节有执念的你，多大了？】明天#六一儿童节#，除了儿童，很多大朋友说#我们只是装成大人的儿童#，谁还不是个宝宝呢？不论几零后，都可以拥有一颗“童心”。想过儿童节的，不要害怕暴露你的年龄，你是几零后？ 央视新闻的微博投票 ​​​​,1088.0,3660.0,333449.0,https://weibo.com/2656274875/J4vhRnBgA?from=page_1002062656274875_profile&wvr=6&mod=weibotime,小调查：对儿童节有执念的你，多大了？
12,5月31日 19:41,【直播！#作家刘慈欣医生陶勇喊你一起读书#】今晚，@央视新闻 陪你读书。科幻小说家刘慈欣@workership 、@北京眼科医生陶勇 、未来事务管理局创始人姬少亭@小姬AI 、纪录片导演@竹内亮导演 等分享他们喜欢的科幻读物！书中自有星辰大海，#央视新闻阅读之夜#，带你放飞你的想象力↓  ​​​​...展开全文,2934.0,3935.0,6757.0,https://weibo.com/2656274875/J4v8u7uGA?from=page_1002062656274875_profile&wvr=6&mod=weibotime,直播！#作家刘慈欣医生陶勇喊你一起读书#
13,5月31日 19:30,【来看！#国家大剧院变身童话王国#】奇幻的魔方世界、纯净的冰雪天地、科技感十足的未来世界…今晚，@中国宋庆龄基金会 、中国福利会、@国家大剧院 共同举办“我和祖国一起成长”#六一儿童节#主题活动，小朋友们为抗疫英雄准备了什么神秘礼物？一起看↓ 央视新闻的微博视频 . ​​​​,470.0,220.0,1706.0,https://weibo.com/2656274875/J4v462ytF?from=page_1002062656274875_profile&wvr=6&mod=weibotime,来看！#国家大剧院变身童话王国#
14,5月31日 19:00,#在微博看联播#【直播！#新闻联播#】 央视新闻的微博直播 . ​​​​,224.0,114.0,3356.0,https://weibo.com/2656274875/J4uRC4LBo?from=page_1002062656274875_profile&wvr=6&mod=weibotime,直播！#新闻联播#
15,5月31日 17:43,【#青春很贵烟草不配#！转给更多人，戒烟吧！】烟草中包含近7000种化学物质，其中明确的致癌物有69种。烟草中的尼古丁是高度成瘾性物质，青少年对尼古丁敏感，一旦成瘾，很难戒脱，并影响大脑功能！#今天世界无烟日#，#听医生的话#，与@刘雯 @易建联 @吴牧野WMY @关晓彤 @王嘉Jevon 一起，拒绝吸烟，也 ​​​​...展开全文,1457.0,847.0,4908.0,https://weibo.com/2656274875/J4umqmtKn?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#青春很贵烟草不配#！转给更多人，戒烟吧！
16,5月31日 17:43,【#青春很贵烟草不配#！转给更多人，戒烟吧！】烟草中包含近7000种化学物质，其中明确的致癌物有69种。烟草中的尼古丁是高度成瘾性物质，青少年对尼古丁敏感，一旦成瘾，很难戒脱，并影响大脑功能！#今天世界无烟日#，#听医生的话#，与@刘雯 @易建联 @吴牧野WMY @关晓彤 @王嘉Jevon 一起，拒绝吸烟，也 ​​​​...展开全文,1457.0,847.0,4908.0,https://weibo.com/2656274875/J4umqmtKn?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#青春很贵烟草不配#！转给更多人，戒烟吧！
17,5月31日 17:12,【转起祝贺！#高分九号02星和德四号卫星成功发射#】今天16时53分，我国在酒泉卫星发射中心用长征二号丁运载火箭，成功将高分九号02星、和德四号卫星送入预定轨道，发射获得圆满成功。转起！#为中国航天点赞#！（总台央视记者刘芃利）央视新闻的微博视频,1949.0,997.0,11035.0,https://weibo.com/2656274875/J4ua5mJtu?from=page_1002062656274875_profile&wvr=6&mod=weibotime,转起祝贺！#高分九号02星和德四号卫星成功发射#
18,5月31日 17:03,【今晚19:30，记得收一份六一儿童节礼物~】国家大剧院，能变身童话王国？小朋友们为抗疫英雄准备了什么神秘礼物？今晚19:30，由中国宋庆龄基金会、中国福利会、国家大剧院共同主办的“我和祖国一起成长”#六一儿童节#主题活动，在国家大剧院古典音乐频道、@央视新闻 等60余家平台同步播出↓一起看！ ​​​​...展开全文,343.0,151.0,1211.0,https://weibo.com/2656274875/J4u6eBLo0?from=page_1002062656274875_profile&wvr=6&mod=weibotime,今晚19:30，记得收一份六一儿童节礼物~
19,5月31日 16:47,【#全美16州至少25城宵禁#】当地时间30日，美国加州旧金山市市长布里德表示，旧金山已处于宵禁状态，直至31日凌晨5时，加州国民警卫队将继续待命以应对抗议活动中的突发事件。目前，全美16个州的至少25个城市实行了宵禁令，国民警卫队也在约12个州和哥伦比亚特区被启动。（央视记者许弢 许骁）,478.0,517.0,3617.0,https://weibo.com/2656274875/J4tZBxiHj?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#全美16州至少25城宵禁#
20,5月31日 16:10,【明天，看#央视六一#特别节目 一起过节！】明天#六一儿童节#，中央广播电视总台的“六一”特别节目邀请大朋友、小朋友陪你过节！袁隆平、钟南山、张富清、郎平、王亚平、李幼斌、@郎朗 @TFBOYS-王源 @蔡国庆 @庆庆cai @佟丽娅 @大张伟 @高圆圆 @韩雪  @李光洁 @阿云嘎Musical @关晓彤 @平安anson  ​​​​...展开全文,4869.0,2744.0,78920.0,https://weibo.com/2656274875/J4tKyFI2k?from=page_1002062656274875_profile&wvr=6&mod=weibotime,明天，看#央视六一#特别节目 一起过节！
21,5月31日 15:43,【#俄罗斯新冠肺炎确诊超40万例#】据俄罗斯新冠病毒防疫官网发布信息，截至当地时间5月31日10时35分，俄罗斯累计新冠肺炎确诊405842例，累计死亡4693例。过去24小时，俄罗斯新增确诊9268例，新增死亡病例138例。（总台记者顾鑫）,599.0,615.0,6220.0,https://weibo.com/2656274875/J4tzPvJEo?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#俄罗斯新冠肺炎确诊超40万例#
22,5月31日 15:28,【#张文宏回应秋冬是否会出现第二波疫情#】张文宏：当前，很多国家的疫情还在快速蔓延。在这种情况下复工复产，疫情控制不太好的国家，其整体的发病人数很难控制下来，特别到了秋冬季，疫情就可能反弹。不过大家不用过于担心，我国应对疫情的体系非常完整，已为防范疫情输入做好了准备。  ​​​​...展开全文,1637.0,2466.0,36142.0,https://weibo.com/2656274875/J4ttEAa3G?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#张文宏回应秋冬是否会出现第二波疫情#
23,5月31日 14:55,【#华盛顿邮报刊文称美国深陷危机#】30日，《华盛顿邮报》刊文称，新冠肺炎已致超10万美国人死亡，#美国警员膝盖压脖子致非裔男子死亡#又引发多地抗议活动。文章援引美国政治活动家的话说，疫情造成的人员死亡，使美国种族不平等问题愈发严峻，警察暴力执法又加深了这种不平等。种种迹象，暴露出美国持 ​​​​...展开全文,1323.0,2383.0,41811.0,https://weibo.com/2656274875/J4tg9p988?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#华盛顿邮报刊文称美国深陷危机#
24,5月31日 14:30,【直播！#张文宏解读校园防控操作指南#】随着疫情防控进入常态化，全国多地高校及中小学开始复学。学生返校后吃饭时应注意什么？备战中高考的学生是否需要进补？暑假能外出旅游吗？@张文宏医生 为你答疑解惑↓来看！ 央视新闻的微博视频 . ​​​​,782.0,1083.0,9997.0,https://weibo.com/2656274875/J4t6faYYP?from=page_1002062656274875_profile&wvr=6&mod=weibotime,直播！#张文宏解读校园防控操作指南#
25,5月31日 13:57,【#我国青少年吸烟率下降电子烟使用率上升#】调查显示，过去5年，我国初中生吸烟率明显下降，但青少年电子烟使用率却大幅上升，甚至有青少年认为电子烟很酷。专家表示，电子烟同样含有尼古丁，进而导致青少年尝试传统烟草。#青春很贵烟草不配#，转发呼吁：拒绝吸烟！远离电子烟！#今天世界无烟日#  ​​​​...展开全文,649.0,665.0,3615.0,https://weibo.com/2656274875/J4sSDc8YW?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#我国青少年吸烟率下降电子烟使用率上升#
