,pub_time,weibo_content,forward,comment,like,weibo_url,weibo_topic
0,1月28日 23:35,【转发帮扩！#多家医院公布接受物资捐赠方式#】近期，医用防护口罩、医用外科口罩、医用防护服等医院防护物品用量大，物资紧缺。目前，中国医科大学附属第一医院、苏州大学附属第一医院、江苏省人民医院（南京医科大学第一附属医院）等多家医院，先后发布接受社会捐赠的公告。如果您有安全的物资渠道， ​​​​...展开全文,5075.0,3498.0,26251.0,https://weibo.com/2656274875/IrD8jeHzI?from=page_1002062656274875_profile&wvr=6&mod=weibotime,转发帮扩！#多家医院公布接受物资捐赠方式#
1,1月28日 23:34,【一起听！#防疫公益歌曲爱无止境#】“用心灵点燃生命的灯，用坚强编织美丽彩虹，伸出温暖的手，有爱才会永恒，无穷的力量都在逆行中！”太空音符创作室原创防疫公益歌曲《爱会永恒》MV首发！加油武汉！众志成城，#共同战疫#！@我们的太空 我们的太空的微博视频 ​​​​,943.0,322.0,5543.0,https://weibo.com/2656274875/IrD7PEfxx?from=page_1002062656274875_profile&wvr=6&mod=weibotime,一起听！#防疫公益歌曲爱无止境#
2,1月28日 23:12,【#聊完疫情岩松带你轻松下#】现在宅在家里的你，请回答这个灵魂拷问↓不许看手机！ #央视偶尔也要皮一下#央视新闻的微博视频 ​​​​,3717.0,4455.0,42388.0,https://weibo.com/2656274875/IrCYHwokA?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#聊完疫情岩松带你轻松下#
3,1月28日 23:03,【#港澳旅游签注暂停办理#】据国家移民管理局：根据当前新型冠状病毒感染肺炎疫情防控工作需要，自即日起，全国公安机关出入境管理部门暂停受理、审批、签发内地居民赴香港、澳门团队旅游、个人旅游（含深圳“一周一行”）签注，恢复时间将另行发布。对暂停办理期间内地居民持有有效赴港澳地区旅游签注 ​​​​...展开全文,215.0,440.0,3028.0,https://weibo.com/2656274875/IrCV2hDMl?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#港澳旅游签注暂停办理#
4,1月28日 22:55,#岩松帮你问#【#专家回应无症状患者也会传染#】李兰娟：我们现在最重要的就是要关注这些无症状的感染者。事实上，他们已经在无意中接触到了疫区来的感染者，但自己又不知道。这给我们的预防带来了难度。现在有一个解决方法，就是利用大数据。大数据会告诉你，你周围的人可能有感染者，它能把每个人的流 ​​​​...展开全文,2218.0,1808.0,29378.0,https://weibo.com/2656274875/IrCRS6qzv?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#专家回应无症状患者也会传染#
5,1月28日 22:27,#岩松帮你问#【#专家回应日常是否要戴手套#】李兰娟：在医院里，医务人员接触患者，接触污染物质的时候，是应该戴手套的。但在外环境中，毕竟（污染物质）量是有限的，所以只要勤洗手就可以了。 央视新闻的微博视频 ​​​​,905.0,861.0,19136.0,https://weibo.com/2656274875/IrCGywiBi?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#专家回应日常是否要戴手套#
6,1月28日 22:10,【#分离到三株新型冠状病毒毒株# #还要多久能出疫苗#？】李兰娟：分离病毒毒株，意味着我们已经拥有了疫苗的种子株。通过疫苗株以后，我们就可以制备疫苗。制备疫苗要有个过程，拿到疫苗株需要一个半月，之后还需要一个半月的审批过程。#岩松帮你问# 央视新闻的微博视频 ​​​​,7639.0,11784.0,420427.0,https://weibo.com/2656274875/IrCzHDIra?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#分离到三株新型冠状病毒毒株# #还要多久能出疫苗#？
7,1月28日 21:59,#岩松帮你问#【#确诊病例是否正在靠近峰值#？】李兰娟：目前的增加在我们的预计之中。前段时间，各个省在潜伏期的感染者都应该逐渐发病了，现在应该处于发病的高峰期。如果隐性感染的人全部找到了，感染的人全部隔离了，那在14天潜伏期之后，会慢慢往下降。所以，严格查出感染者，严格地隔离，是非常重 ​​​​...展开全文,1612.0,1516.0,23932.0,https://weibo.com/2656274875/IrCvkFnkv?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#确诊病例是否正在靠近峰值#？
8,1月28日 21:50,【#交警接力护送援汉护士准点集合#】除夕夜，浦东交警支队民警执勤时，遇到一名女士求助。经了解，这位女士是驰援武汉医疗队中的一员，但因集合时间临时调整，需紧急赶往集合点。在向指挥中心汇报后，交警立即接力护送，最终在规定时间前到达。“我们能做的就是护城保驾，希望白衣天使们早日凯旋。” ​​​​...展开全文,479.0,539.0,14942.0,https://weibo.com/2656274875/IrCrti9hL?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#交警接力护送援汉护士准点集合#
9,1月28日 21:31,【#确诊病例大幅增加是否意味疫情加剧#？】湖北省委副书记、武汉市委书记马国强：确诊病例大幅增加是因为国家将检测权力下放，检测速度提升。从24日起，有检测资质的9家医院加上武汉市疾控中心，都给予了检测资质，可以检测。检测能力的提升，导致了昨天武汉市新增892例病例，不是说突然一天增加这么多 ​​​​...展开全文,818.0,2865.0,40140.0,https://weibo.com/2656274875/IrCjA04n7?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#确诊病例大幅增加是否意味疫情加剧#？
